Unnamed: 0,Unnamed: 1,Unnamed: 2,Nepal Stock Exchange Limited,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,,"Singhadurbar Plaza, Kathmandu, Nepal.
Phone: 977-1-4250758,4250735, Fax: 977-1-4262538
Email: info@nepalstock.com",,,,,,,
,,,Closing Price Movement,,,,,,,
,,,( 16-Jul-2020 To 15-Jul-2021 ),,,,,,,
Commercial Banks,,,,,,,,,,
S.N. ,Security Name,,,,,Previous Year Closing Price,,Current Year Closing Price,,Difference
1,Agriculture Development Bank Limited,,,,,385,,479,,94
2,Bank of Kathmandu Ltd.,,,,,219,,379,,160
3,Century Commercial Bank Ltd.,,,,,165,,291,,126
4,Citizen Bank International Limited,,,,,188,,386,,198
5,Civil Bank Ltd,,,,,139,,286,,147
6,Everest Bank Limited,,,,,675,,738,,63
7,Global IME Bank Limited,,,,,239,,441,,202
8,Himalayan Bank Limited,,,,,540,,484,,-56
9,Kumari Bank Limited,,,,,186,,371,,185
10,Laxmi Bank Limited,,,,,209,,395,,186
11,Machhapuchhre Bank Limited,,,,,220,,385,,165
12,Mega  Bank Nepal Ltd.,,,,,208,,366,,158
13,Nabil Bank Limited,,,,,765,,1359,,594
14,Nepal Bangladesh Bank Limited,,,,,209,,436,,227
15,Nepal Bank Limited,,,,,249,,443,,194
16,Nepal Credit And Commercial Bank Limited,,,,,186,,367,,181
17,Nepal Investment Bank Limited,,,,,431,,460,,29
18,Nepal SBI Bank Limited,,,,,435,,409,,-26
19,NIC Asia Bank Ltd.,,,,,553,,994,,441
20,NMB Bank Limited,,,,,397,,440,,43
21,Prabhu  Bank Limited,,,,,230,,457,,227
22,Prime Commercial Bank Ltd.,,,,,255,,479,,224
23,Sanima Bank Limited,,,,,330,,485,,155
24,Siddhartha Bank Limited,,,,,296,,504,,208
25,Standard Chartered Bank Limited,,,,,645,,590,,-55
26,Sunrise Bank Limited,,,,,234,,363,,129
,,,,,,,,,,
Development Banks,,,,,,,,,,
S.N. ,Security Name,,,,,Previous Year Closing Price,,Current Year Closing Price,,Difference
1,Corporate Development Bank Limited,,,,,124,,751,,627
2,Excel Development Bank Ltd.,,,,,298,,855,,557
3,Garima Bikas Bank Limited,,,,,223,,544,,321
4,Green Development Bank Ltd.,,,,,109,,358,,249
5,Jyoti Bikas Bank Limited,,,,,166,,478,,312
6,Kamana Sewa Bikas Bank Limited,,,,,145,,580,,435
7,Karnali Development Bank Limited,,,,,100,,354,,254
8,Lumbini Bikas Bank Ltd.,,,,,181,,585,,404
9,Mahalaxmi Bikas Bank Ltd.,,,,,183,,445,,262
10,Miteri Development Bank Limited,,,,,307,,586,,279
11,Muktinath Bikas Bank Ltd.,,,,,312,,657,,345
12,Narayani Development Bank Limited,,,,,435,,697,,262
13,Sahara Bikas Bank Ltd.,,,,,460,,460,,0
14,Saptakoshi Development Bank Ltd,,,,,120,,365,,245
15,Shangrila Development Bank Ltd.,,,,,141,,424,,283
16,Shine Resunga Development Bank Ltd.,,,,,222,,447,,225
