.,"Nepal Stock Exchange Limited
Singhadurbar Plaza, Kathmandu, Nepal
Phone: 977-1-4250758, 4250735, Fax: 977-1-4262538
Email: info@nepalstock.com",Unnamed: 2,Unnamed: 3
,,,
,,,
,,,
,,,
,,,
,Top 10 by Amount Traded (2023-7-17 to 2024-7-15),,
,,,
S.N.,SECURITY_NAME,SYMBOL,TRADED_AMOUNT(Rs. in million)
1,Himalayan Reinsurance Limited,HRL,18217.152613
2,SHIVAM CEMENTS LTD,SHIVM,18024.624629
3,Sonapur Minerals And Oil Limited,SONA,15711.988899
4,NRN Infrastructure and Development Limited,NRN,12382.092959
5,Soaltee Hotel Limited,SHL,9704.830966
6,Hathway Investment Nepal Limited,HATHY,9587.587758
7,Himalayan Distillery Limited,HDL,9222.308838
8,Ngadi Group Power Ltd.,NGPL,8984.792270
9,Gurkhas Finance Ltd.,GUFL,8982.206888
10,Mountain Energy Nepal Limited,MEN,8674.862830
