Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Nepal Stock Exchange Limited
Singhadurbar Plaza, Kathmandu, Nepal
Phone: 977-1-4250758, 4250735, Fax: 977-1-4262538
Email: info@nepalstock.com",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,Trade by Sector Report (2023-7-17 to 2024-7-15) ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Commercial Banks,,,,,,,,,,,,,,,,,,,,,
S.N.,SECURITY NAME,,,,,,SYMBOL,LISTED UNITS,,FACE VALUE,PAID UP CAPITAL     (Rs. in million),TOTAL TRADED QUANTITY,TOTAL TRADED VALUE (Rs. in million),,TOTAL TRADES,HIGH PRICE,LOW PRICE,CLOSE PRICE,AVERAGE PRICE,NO. OF TRADING DAYS,MARKET CAPITALIZATION          (Rs. in million)
1,Agricultural Development Bank Limited,,,,,,ADBL,134516742,,100,13451.67,7615895,1948.27,,45576,308,220.5,294,255.816341,229,39547.92
2,Citizens Bank International Limited,,,,,,CZBIL,142009741,,100,14200.97,9021992,1590.79,,36093,207.8,152.5,193.5,176.323211,229,27478.88
3,Everest Bank Limited,,,,,,EBL,117679040,,100,11767.9,8740256,4837.88,,54058,633,448,560,553.516931,229,65900.26
4,Global IME Bank Limited,,,,,,GBIME,361287703,,100,36128.77,23482497,4676.84,,113760,241.9,170,194.2,199.162748,229,70162.07
5,Himalayan Bank Limited,,,,,,HBL,216566158,,100,21656.62,8464021,1705.78,,42861,240,167.1,204.2,201.532504,229,44222.81
6,Kumari Bank Limited,,,,,,KBL,262258613,,100,26225.86,28182401,4338.25,,94609,195.8,129.6,153.7,153.934579,229,40309.15
7,Laxmi Sunrise Bank Limited,,,,,,LSL,231871546,,100,23187.15,15723013,2692.77,,37780,208,143.6,175,171.263139,199,40577.52
8,Machhapuchhre Bank Limited,,,,,,MBL,116213573,,100,11621.36,15422263,3356.22,,53075,283,157.8,200,217.621707,229,23242.71
9,Nabil Bank Limited,,,,,,NABIL,270569984,,100,27057,14283415,7340.29,,158570,653,419,524,513.903293,229,141778.67
10,Nepal Bank Limited,,,,,,NBL,146940230,,100,14694.02,13115680,3071.06,,60659,280,195.1,229.5,234.151824,229,33722.78
11,Nepal Investment Mega Bank Limited,,,,,,NIMB,341285949,,100,34128.59,18798098,3276.25,,83302,217,147.4,175.1,174.286081,229,59759.17
