.,"Nepal Stock Exchange Limited
Singhadurbar Plaza, Kathmandu, Nepal
Phone: 977-1-4250758, 4250735, Fax: 977-1-4262538
Email: info@nepalstock.com",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Sector Index Report (2023-7-17 to 2024-7-15),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
S.N.,BUSINESS_DATE,Banking SubIndex,Hotels And Tourism Index,Others Index,HydroPower Index,Development Bank Index,Manufacturing And Processing,Microfinance Index,Life Insurance,Mutual Fund,Investment Index,Non Life Insurance,Finance Index,Trading Index,Float Index,Sensitive Float Index,Sensitive Index,NEPSE Index
1,2023-07-17,1270.0859,5951.7608,1569.9484,2401.3095,4056.4987,5716.2160,4110.8597,12274.0108,15.0794,74.3120,11549.9557,1994.8701,2675.9618,148.4887,132.8794,404.1025,2144.1664
2,2023-07-18,1283.8254,5865.4526,1577.6599,2391.3908,4020.9001,5794.1732,4128.7255,12292.8472,15.0240,74.4483,11728.6903,1990.7488,2666.6008,149.1936,133.6983,407.1384,2154.0741
3,2023-07-19,1313.4878,5827.7992,1562.5519,2371.7097,4070.0533,5860.3722,4107.8919,12244.0877,15.0619,74.1849,11726.8042,1972.1108,2795.3769,150.2558,135.0849,410.4666,2165.2455
4,2023-07-20,1314.7473,5806.3326,1555.0016,2394.0911,4081.0169,5942.4010,4082.5995,12122.0244,14.8785,73.8644,11594.7337,1956.4177,2973.0385,150.0489,135.1253,410.5203,2163.9294
5,2023-07-23,1380.3105,5983.5536,1577.3485,2434.8709,4276.3831,6034.5546,4132.2518,12247.5417,14.9618,76.4211,11752.8498,1989.9321,3094.9790,154.8206,140.6397,424.9360,2227.1697
6,2023-07-24,1352.6308,5922.7691,1622.7748,2422.6112,4126.4607,5920.3167,4090.8198,12104.4251,15.1044,75.3100,11618.4572,1952.0947,3004.4554,152.5818,138.3191,418.7894,2200.5067
7,2023-07-25,1315.3847,5995.0718,1594.7772,2395.9758,4040.3281,5906.9692,4054.3216,11927.9802,15.0038,74.2857,11507.2689,1915.5669,3000.5850,149.7621,135.3708,411.1679,2164.3150
8,2023-07-26,1314.7786,5909.6487,1606.0880,2373.8718,4021.6581,5857.6163,4023.3310,11899.9832,15.0594,73.8102,11420.5397,1917.1805,2976.0796,149.2835,134.9314,409.1103,2156.2017
9,2023-07-27,1301.6473,5789.8182,1572.0365,2347.7742,3974.6037,5744.1592,3963.3954,11677.3383,14.8246,72.8565,11282.1139,1874.4136,2897.0922,147.3274,133.2654,403.8432,2126.4876
10,2023-07-30,1293.6647,5668.9894,1543.5168,2314.1214,3915.4412,5711.3608,3898.0432,11489.1552,14.8735,72.2655,11071.7367,1830.7550,2836.9956,145.4847,131.8062,399.6685,2100.3433
