Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,"Nepal Stock Exchange Limited
Singhadurbar Plaza, Kathmandu, Nepal
Phone: 977-1-4250758, 4250735, Fax: 977-1-4262538
Email: info@nepalstock.com",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Market Capitalization by Sector (2023-7-17 to 2024-7-15) ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
S.N,BUSINESS DATE,COMMERCIAL BANKS,,,MANUFACTURING AND PROCESSING,,,HOTELS AND TOURISM,OTHERS,HYDRO POWER,TRADINGS,NON LIFE INSURANCE,,DEVELOPMENT BANKS,,FINANCE,MICROFINANCE,LIFE INSURANCE,,INVESTMENT,TOTAL
1,2023-07-17,980739.87,,,138669.93,,,107571.79,261486.42,413274.58,15576.03,,217585.17,149313.73,,64254.3,310748.85,268901.69,222791.31,,3150913.67
2,2023-07-18,991349.3,,,140561.1,,,106011.86,262770.82,411567.53,15521.54,,220952.28,148003.4,,64121.55,312099.36,269314.36,223200.14,,3165473.24
3,2023-07-19,1014254.11,,,142167.02,,,105331.31,260254.49,408180.34,16271.11,,220916.75,149812.65,,63521.23,310524.51,268246.13,222410.34,,3181889.99
4,2023-07-20,1015226.69,,,144156.96,,,104943.32,258996.93,412032.28,17305.23,,218428.72,150216.21,,63015.76,308612.6,265571.94,221449.33,,3179955.97
5,2023-07-23,1065853.53,,,146392.52,,,108146.41,262718.96,419050.63,18015.02,,221407.41,157407.35,,64095.25,312365.92,268321.8,229114.66,,3272889.46
6,2023-07-24,1044479.68,,,143621.22,,,107047.79,270285.05,416940.68,17488.1,,218875.64,151888.93,,62876.52,309233.99,265186.37,225783.41,,3233707.38
7,2023-07-25,1015718.87,,,143297.42,,,108354.59,265621.84,412356.63,17465.57,,216781.01,148718.51,,61699.96,306475.01,261320.78,222712.4,,3180522.59
8,2023-07-26,1015250.82,,,142100.17,,,106810.65,267505.73,408552.45,17322.94,,215147.15,148031.3,,61751.94,304132.36,260707.41,221286.99,,3168599.91
9,2023-07-27,1005111.04,,,139347.81,,,104644.84,261834.21,404060.95,16863.17,,212539.4,146299.29,,60374.43,299601.7,255829.66,218427.69,,3124934.19
10,2023-07-30,998946.98,,,138552.15,,,102460.99,257084.04,398666.64,16513.37,,208576.19,144121.61,,59122.71,294661.58,251706.91,216655.74,,3087068.91
11,2023-07-31,1006429.29,,,139177.15,,,102529.01,257097.77,397188.65,16839.41,,208663.1,144788.63,,59872.24,294351.29,251761.27,216960.3,,3095658.11
