.,"Nepal Stock Exchange Limited
Singhadurbar Plaza, Kathmandu, Nepal
Phone: 977-1-4250758, 4250735, Fax: 977-1-4262538
Email: info@nepalstock.com",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Float Index (2023-7-17 to 2024-7-15),,,,
,,,,,
S.N.,Date,Float Market Capitalization (In Million),Float Index,Sen. Float Market Capitalization (In Million),Sensitive Float Index
1,2023-07-17,1114679.080000,148.4887,435131.200000,132.8794
2,2023-07-18,1119970.290000,149.1936,437798.200000,133.6983
3,2023-07-19,1127944.280000,150.2558,442325.870000,135.0849
4,2023-07-20,1126390.950000,150.0489,442457.990000,135.1253
5,2023-07-23,1162211.470000,154.8206,460505.210000,140.6397
6,2023-07-24,1145405.160000,152.5818,452916.230000,138.3191
7,2023-07-25,1124238.300000,149.7621,443268.020000,135.3708
8,2023-07-26,1120645.270000,149.2835,441826.130000,134.9314
9,2023-07-27,1105961.280000,147.3274,436371.160000,133.2654
10,2023-07-30,1092324.400000,145.4847,431587.700000,131.8062
11,2023-07-31,1095973.990000,145.9708,434454.330000,132.6848
12,2023-08-01,1081170.710000,143.9992,429470.310000,131.1660
13,2023-08-02,1086430.550000,144.6997,431340.380000,131.7340
14,2023-08-03,1088003.660000,144.9092,433118.480000,132.2818
15,2023-08-06,1075580.130000,142.1641,421105.590000,129.7203
16,2023-08-07,1072063.200000,141.8536,420038.310000,129.2337
17,2023-08-08,1057384.970000,139.9114,414704.100000,127.5941
18,2023-08-09,1078086.840000,142.6506,422039.840000,129.8531
19,2023-08-10,1079708.830000,142.8653,422081.500000,129.8714
20,2023-08-13,1098589.230000,144.0586,426853.910000,131.3448
21,2023-08-14,1096484.080000,143.7826,427302.850000,131.4833
22,2023-08-15,1079519.170000,141.5579,419935.620000,129.2166
23,2023-08-16,1069007.060000,140.2019,415338.510000,127.8019
24,2023-08-17,1073585.960000,140.8024,416869.520000,128.2752
25,2023-08-20,1063111.210000,139.4286,414053.270000,127.4095
26,2023-08-21,1052565.360000,138.5336,411879.070000,126.7414
27,2023-08-22,1060971.730000,139.6400,415022.660000,127.7074
28,2023-08-23,1076668.230000,141.7059,419986.830000,129.2317
29,2023-08-24,1060202.740000,139.5388,414518.650000,127.5500
30,2023-08-27,1049544.450000,138.1360,410618.600000,126.3556
31,2023-08-28,1053720.980000,138.5705,403909.190000,126.9457
32,2023-08-29,1050711.900000,138.1748,403071.460000,126.6856
33,2023-08-30,1049442.810000,137.9887,402161.090000,126.3992
34,2023-09-03,1034331.270000,136.0017,396801.600000,124.7151
35,2023-09-04,1037457.600000,136.4128,397693.430000,124.9972
36,2023-09-05,1033584.850000,135.9036,396783.380000,124.7129
37,2023-09-07,1018914.220000,133.9745,391299.030000,122.9907
38,2023-09-10,1024315.020000,134.6847,393921.490000,123.8146
39,2023-09-11,1049344.170000,137.9757,402862.780000,126.6179
40,2023-09-12,1038949.620000,136.6089,399660.290000,125.6125
41,2023-09-13,1059862.170000,139.3587,407843.990000,128.1795
42,2023-09-17,1043843.700000,136.4486,399283.070000,125.4392
