.,"Nepal Stock Exchange Limited
Singhadurbar Plaza, Kathmandu, Nepal
Phone: 977-1-4250758, 4250735, Fax: 977-1-4262538
Email: info@nepalstock.com",Unnamed: 2,Unnamed: 3
,,,
,,,
,,,
,,,
,,,
,Top 10 by Shares Traded (2023-7-17 to 2024-7-15),,
,,,
S.N.,SECURITY_NAME,SYMBOL,NO OF SHARES (in thousand)
1,Himal Dolakha Hydropower Company Limited,HDHPC,41950
2,Sonapur Minerals And Oil Limited,SONA,36001
3,SHIVAM CEMENTS LTD,SHIVM,33606
4,Api Power Company Ltd.,API,32230
5,Ngadi Group Power Ltd.,NGPL,29897
6,Himalayan Reinsurance Limited,HRL,28827
7,Kumari Bank Limited,KBL,28182
8,Nepal Infrastructure Bank Limited,NIFRA,27283
9,Arun Kabeli Power Ltd.,AKPL,27181
10,Upper Tamakoshi Hydropower Ltd,UPPER,26259
