.,"Nepal Stock Exchange Limited
Singhadurbar Plaza, Kathmandu, Nepal
Phone: 977-1-4250758, 4250735, Fax: 977-1-4262538
Email: info@nepalstock.com",Unnamed: 2,Unnamed: 3
,,,
,,,
,,,
,,,
,,,
,Top 10 by Number of Trades (2023-7-17 to 2024-7-15),,
,,,
S.N.,SECURITY_NAME,SYMBOL,NO_OF_TRADES
1,Himalayan Reinsurance Limited,HRL,747921
2,Sonapur Minerals And Oil Limited,SONA,597305
3,IME Life Insurance Company Limited,ILI,449412
4,Reliable Nepal Life Insurance Limited,RNLI,418510
5,Citizen Life Insurance Company Limited,CLI,383393
6,Sun Nepal Life Insurance Company Limited,SNLI,344612
7,Ghorahi Cement Industry Limited,GCIL,273253
8,Nepal Republic Media Limited,NRM,227739
9,Modi Energy Limited,MEL,224298
10,Nepal Infrastructure Bank Limited,NIFRA,174923
