Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,"Nepal Stock Exchange Limited
Singhadurbar Plaza, Kathmandu, Nepal
Phone: 977-1-4250758, 4250735, Fax: 977-1-4262538
Email: info@nepalstock.com",,,,,,,,
,,,,,,,,,,,,
,,,,Cummulative Summary Report,,,,,,,,
,,,,,,,,,,,,
S.N,PARTICULARS,,,2021-7-16 to 2022-7-16,,2022-7-17 to 2023-7-16,,Percent Change,,2023-7-17 to 2024-7-15,,Percent Change
,,,,Share Units(in thousand),Amount (Rs. in millions),Share Units(in thousand),Amount (Rs. in millions),,,Share Units(in thousand),Amount (Rs. in millions),
1,Turnover,,,2492010.77,1202101.4,1277110.85,467126.94,-61.14,,2052150.6,734684.46,57.28
2,Others,,,26108.99,34444.12,19327.96,15931.85,-53.75,,62233.19,39495.17,147.9
3,Investment,,,112436.36,56314.04,56048.7,20375.8,-63.82,,90192.03,45513.95,123.37
4,Life Insurance,,,69251.25,65420.3,47280.5,30153.93,-53.91,,108352.91,57122.57,89.44
5,Commercial Banks,,,469426.35,207420.97,217240.58,66858.2,-67.77,,262093.52,66844.07,-0.02
6,Tradings,,,612.12,3764.68,600.68,2515.84,-33.17,,797.77,3962.31,57.49
7,Non Life Insurance,,,67096.72,64184.12,48325.8,28868.24,-55.02,,58042.62,39082.51,35.38
8,Finance,,,156276.43,101336,76785.97,30679.74,-69.72,,131263.78,64021.02,108.68
9,Hotels And Tourism,,,17406.13,7502.02,29964.38,14020.75,86.89,,36901.96,22300.22,59.05
10,Hydro Power,,,713061,358672.16,426021.69,130231.67,-63.69,,709117.91,207684.92,59.47
11,Microfinance,,,71799.73,113645.91,44249.69,49476.54,-56.46,,77181.74,70536.39,42.57
12,Development Banks,,,230966.3,127035.96,87682.14,30086.9,-76.32,,113746.43,41806.89,38.95
13,Manufacturing And Processing,,,17196.53,43419.44,40773.23,37054.67,-14.66,,95206.51,56781.9,53.24
14,Mutual Fund,,,506416.34,7257.86,123014.85,1111.73,-84.68,,212552.82,1876.02,68.75
15,Promotor Shares,,,33525.88,11258.29,59500.61,9500.11,-15.62,,92496.2,15657.61,64.82
16,Debentures,,,423.34,421.04,293.67,260.77,-38.07,,1971.23,1998.92,666.55
17,OddLot + Manual Trade,,,6850.555,2301.472,17612.203,2774.8901,20.57,,44209.644,10894.01,292.59
18,Market Days,,,-,239,-,236,-1.26,,-,229,-2.97
19,Average Daily Turnover,,,-,5029.71,-,1979.35,-60.65,,-,3208.23,62.09
20,Number of Transactions,,,-,14712483,-,8644715,-41.24,,-,14795645,71.15
21,Number of Scripts Traded,,,-,362,-,404,11.6,,-,433,7.18
22,Number of Companies Listed,,,-,234,-,254,8.55,,-,270,6.3
23,Total Paid up value of Listed Shares,,,-,667754,-,728952.77,9.16,,-,825048.59,13.18
24,Total Number of Listed Securities,,,6771226.54,-,7387006.41,-,-,,8322509.53,-,-
25,Market Capitalization,,,-,2869344.17,-,3082519.56,7.43,,-,3553677.24,15.28
26,Market Capitalization of Sensitive,,,-,1160054.6,-,1229573.3,5.99,,-,1214029.86,-1.26
27,Total Paid up value of Sensitive,,,-,293326.97,-,328224.88,11.9,,-,330181.05,0.6
28,Cancelled Transactions,,,-,-,-,-,-,,-,-,-
29,NEPSE Index High,,,-,3199.0262,-,2211.7667,-30.86,,-,2257.6,2.07
30,NEPSE Index Low,,,-,1848.282,-,1815.1384,-1.79,,-,1826.24,0.61
31,NEPSE Index Closing,,,-,2009.4672,-,2097.0974,4.36,,-,2240.41,6.83
32,NEPSE Sensitive Index High,,,-,598.4886,-,421.1425,-29.63,,-,424.94,0.9
33,NEPSE Sensitive Index Low,,,-,362.0935,-,348.7931,-3.67,,-,347.81,-0.28
34,NEPSE Sensitive Index Closing,,,-,385.9129,-,394.1537,2.14,,-,397.18,0.77
35,NEPSE Float Index High,,,-,223.9577,-,155.368,-30.63,,-,154.82,-0.35
36,NEPSE Float Index Low,,,-,127.217,-,126.2579,-0.75,,-,126.54,0.23
37,NEPSE Float Index Closing,,,-,139.3739,-,144.9708,4.02,,-,152.62,5.28
