Nepal Stock Exchange Limited,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Company wise Transactions,,,,,,,,,,,
15July 2004 to 15th July 2005 (Fiscal Year 2061/062),,,,,,,,,,,
,Commercial Banks,,,,,,,,,,
,,,,,Traded,,,,,,
,Name of the company,Outstanding,Paid up,Total Paid,Share,Traded,No.of tran-,High,Low,Closing,Market
,,Equity,Value,,Quantity,Amount Rs.,sactions,,,,Cap.
,,,,(in million),( in '000),( in million),,,,,(in million)
1,Nabil Bank Limited,4909950,100,491,169.5,211.21,1441,1515,1000,1505,7389.47
2,Nepal Investment Bank Ltd.,2952930,100,295.29,127.7,137.51,1392,1430,760,800,2362.34
3,Standard Chartered Bank Nepal,3746404,100,374.64,1319,2317.9,1496,2350,1553,2345,8785.32
4,Himalayan Bank Limited,5250000,100,525,106.4,101.61,1249,1181,855,920,4830
5,Nepal SBI Bank Limited,4316544,100,431.65,161,60.48,1233,480,315,335,1446.04
6,Nepal Bangladesh Bank Limited,3600000,100,360,316.8,84.8,2489,324,214,265,954
7,Everest Bank Limited,3150000,100,315,163.2,122.76,2126,905,625,870,2740.5
8,Bank of Kathmandu Limited,4635809,100,463.58,666.7,242.18,3210,472,280,430,1993.4
9,Nepal Ind. & Commercial Bank Ltd.,5000000,100,500,275.5,82.49,2425,385,216,366,1830
10,Macha Puchchhre Bank Ltd,5500000,100,550,410.4,82.5,2149,300,122,256,1408
11,Laxmi Bank Limited,5500000,100,550,729.3,160.58,5693,350,148,285,1567.5
12,Kumari Bank Limited,5000000,100,500,906.1,239.1,23081,400,216,269,1345
13,Lumbini Bank Limited,5000000,100,500,906.3,158.22,15735,226,120,180,900
14,NCC Bank Limited,7000000,100,700,153.8,20.02,1223,155,110,120,840
15,Everest Bank Limited (Pre),1440000,100,144,4.7,0.49,24,108,102,108,155.52
,,67001637,,6700.16,6416.4,4021.85,64966,,,,38547.1
,,,,,,,,,,,
