.,"Nepal Stock Exchange Limited
Singhadurbar Plaza, Kathmandu, Nepal
Phone: 977-1-4250758, 4250735, Fax: 977-1-4262538
Email: info@nepalstock.com",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Sector Index Report (2024-7-16 to 2025-7-16),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
S.N.,BUSINESS_DATE,Banking SubIndex,Hotels And Tourism Index,Others Index,HydroPower Index,Development Bank Index,Manufacturing And Processing,Sensitive Index,NEPSE Index,Non Life Insurance,Finance Index,Trading Index,Float Index,Sensitive Float Index,Microfinance Index,Life Insurance,Mutual Fund,Investment Index
1,2024-07-16,1255.4399,5761.6258,1730.3397,2935.3021,4653.3190,6878.0309,409.5156,2310.5946,11418.0248,2652.5777,3136.6370,157.6853,135.6800,4929.7128,11086.4548,20.3360,86.1354
2,2024-07-17,1281.6710,6081.9008,1753.8966,2985.5031,4843.7963,7085.9502,419.7714,2364.6373,11800.4442,2798.5988,3365.7117,161.4634,139.2338,5020.5551,11328.7166,20.3533,87.4549
3,2024-07-18,1362.1695,6145.5160,1794.2820,2985.2830,4907.3139,7169.1443,436.1487,2424.3265,11924.3724,2762.9054,3381.4906,166.1294,144.7491,5159.9571,11475.0332,20.5363,88.2347
4,2024-07-21,1414.8745,6404.5688,1855.0181,3026.2255,4976.8714,7382.5152,449.6831,2485.9413,12002.5258,2804.6690,3611.6085,170.4597,149.0869,5243.2415,11649.7287,20.8496,90.5998
5,2024-07-22,1397.4497,6390.5255,1881.6406,3079.0994,4945.2895,7542.5893,448.7917,2488.0974,11994.9385,2824.8373,3679.0652,170.1329,148.3598,5215.1562,11651.3505,21.0143,90.1721
6,2024-07-23,1430.8677,6591.5754,1914.2144,3201.6252,5091.7685,7826.0503,459.1926,2563.4346,12520.0178,2896.3678,3865.2999,175.2767,152.1477,5287.9140,12170.3473,21.2484,93.6667
7,2024-07-24,1413.4431,6600.1730,1877.8225,3151.1908,5063.7443,7728.8201,452.9379,2536.1106,12501.3938,2930.1781,3745.7707,173.6909,150.1755,5215.3041,12132.2185,21.0864,92.8806
8,2024-07-25,1432.5823,6628.0132,1871.5008,3148.2807,5045.7912,7795.7080,460.0574,2568.1394,12871.1744,2966.1310,3776.1462,176.1929,153.0207,5571.1440,12229.5416,21.2326,92.1985
9,2024-07-28,1574.3492,6659.1255,1931.3618,3174.6021,5291.7172,7930.4214,486.8402,2681.5686,13216.6368,3004.5186,3875.4531,185.0628,163.0736,5561.0777,12747.4467,21.5261,97.5436
10,2024-07-29,1573.7198,6639.4243,1930.8008,3200.6288,5149.0995,7792.4393,482.1505,2661.0992,13075.9141,3061.1442,3699.2256,183.5149,161.1561,5354.6812,12495.3129,21.3835,96.9666
