.,"Nepal Stock Exchange Limited
Singhadurbar Plaza, Kathmandu, Nepal
Phone: 977-1-4250758, 4250735, Fax: 977-1-4262538
Email: info@nepalstock.com",Unnamed: 2,Unnamed: 3
,,,
,,,
,,,
,,,
,,,
,Top 10 By Market Capitalisation (2025-7-16 to 2025-7-16),,
,,,
S.N.,SECURITY_NAME,SYMBOL,Market Capitalization(Rs. in million)
1,Bishal Bazar Company Limited,BBC,215898.00
2,Nepal Reinsurance Company Limited,NRIC,169134.32
3,Nepal Doorsanchar Company Limited,NTC,157908.60
4,Nabil Bank Limited,NABIL,146478.47
5,Citizen Investment Trust,CIT,128060.49
6,Himalayan Reinsurance Limited,HRL,100287.73
7,Global IME Bank Limited,GBIME,98937.32
8,Everest Bank Limited,EBL,90814.80
9,Nepal Investment Mega Bank Limited,NIMB,78843.88
10,Hydorelectricity Investment and Development Company Ltd,HIDCL,71864.47
