.,"Nepal Stock Exchange Limited
Singhadurbar Plaza, Kathmandu, Nepal
Phone: 977-1-4250758, 4250735, Fax: 977-1-4262538
Email: info@nepalstock.com",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Closing Price Movement (2024-7-16 to 2025-7-16),,,,
,,,,,
S.N.,SECTOR_NAME,SECURITY_NAME,Previous Closing Price,Current Closing Price,Difference
1,Commercial Banks,Agricultural Development Bank Limited,294.00,327.13,33.13
2,Commercial Banks,Citizens Bank International Limited,193.50,228.28,34.78
3,Commercial Banks,Everest Bank Limited,560.00,701.56,141.56
4,Commercial Banks,Global IME Bank Limited,194.20,259.57,65.37
5,Commercial Banks,Himalayan Bank Limited,204.20,237.30,33.10
6,Commercial Banks,Kumari Bank Limited,153.70,219.77,66.07
7,Commercial Banks,Laxmi Sunrise Bank Limited,175.00,238.74,63.74
8,Commercial Banks,Machhapuchhre Bank Limited,200.00,259.41,59.41
9,Commercial Banks,Nabil Bank Limited,524.00,541.37,17.37
10,Commercial Banks,Nepal Bank Limited,229.50,291.44,61.94
11,Commercial Banks,Nepal Investment Mega Bank Limited,175.10,231.02,55.92
12,Commercial Banks,Nepal SBI Bank Limited,328.00,439.98,111.98
13,Commercial Banks,NIC Asia Bank Ltd.,443.20,420.05,-23.15
14,Commercial Banks,NMB Bank Limited,218.00,269.72,51.72
15,Commercial Banks,Prabhu  Bank Limited,163.70,221.89,58.19
16,Commercial Banks,Prime Commercial Bank Ltd.,221.80,276.31,54.51
17,Commercial Banks,Sanima Bank Limited,279.00,374.77,95.77
18,Commercial Banks,Siddhartha Bank Limited,283.00,383.77,100.77
19,Commercial Banks,Standard Chartered Bank Limited,602.00,656.10,54.10
20,Development Banks,Corporate Development Bank Limited,586.90,2476.78,1889.88
21,Development Banks,Excel Development Bank Ltd.,453.00,649.42,196.42
22,Development Banks,Garima Bikas Bank Limited,385.10,428.36,43.26
23,Development Banks,Green Development Bank Ltd.,491.00,1486.87,995.87
24,Development Banks,Jyoti Bikas Bank Limited,314.00,351.54,37.54
25,Development Banks,Kamana Sewa Bikas Bank Limited,416.00,500.69,84.69
26,Development Banks,Karnali Development Bank Limited,483.90,810.00,326.10
27,Development Banks,Lumbini Bikas Bank Ltd.,416.60,480.69,64.09
28,Development Banks,Mahalaxmi Bikas Bank Ltd.,352.00,411.67,59.67
29,Development Banks,Miteri Development Bank Limited,540.00,688.17,148.17
30,Development Banks,Muktinath Bikas Bank Ltd.,367.00,405.92,38.92
31,Development Banks,Narayani Development Bank Limited,565.00,1643.93,1078.93
32,Development Banks,Saptakoshi Development Bank Ltd,430.00,1052.91,622.91
33,Development Banks,Shangrila Development Bank Ltd.,349.00,462.82,113.82
34,Development Banks,Shine Resunga Development Bank Ltd.,405.10,431.97,26.87
35,Development Banks,Sindhu Bikash Bank Ltd,454.00,866.70,412.70
36,Finance,Best Finance Company Ltd.,500.00,512.03,12.03
37,Finance,Capital Merchant Bank & Finance Co. Ltd.,140.00,140.00,0.00
38,Finance,Central Finance Co. Ltd.,532.00,549.96,17.96
