.,"Nepal Stock Exchange Limited
Singhadurbar Plaza, Kathmandu, Nepal
Phone: 977-1-4250758, 4250735, Fax: 977-1-4262538
Email: info@nepalstock.com",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Closing Price Movement (2022-7-17 to 2023-7-16),,,,
,,,,,
S.N.,SECTOR_NAME,SECURITY_NAME,Previous Closing Price,Current Closing Price,Difference
1,Commercial Banks,Agricultural Development Bank Limited,331.00,233.90,-97.10
2,Commercial Banks,Citizens Bank International Limited,202.50,173.10,-29.40
3,Commercial Banks,Everest Bank Limited,439.00,563.00,124.00
4,Commercial Banks,Global IME Bank Limited,251.40,186.00,-65.40
5,Commercial Banks,Himalayan Bank Limited,299.20,212.80,-86.40
6,Commercial Banks,Kumari Bank Limited,191.00,165.00,-26.00
7,Commercial Banks,Laxmi Bank Limited,199.00,173.00,-26.00
8,Commercial Banks,Machhapuchhre Bank Limited,254.00,231.80,-22.20
9,Commercial Banks,Nabil Bank Limited,824.00,599.20,-224.80
10,Commercial Banks,Nepal Bank Limited,298.00,249.00,-49.00
11,Commercial Banks,Nepal Investment Mega Bank Limited,265.00,173.80,-91.20
12,Commercial Banks,Nepal SBI Bank Limited,282.30,341.00,58.70
13,Commercial Banks,NIC Asia Bank Ltd.,696.00,793.80,97.80
14,Commercial Banks,NMB Bank Limited,261.00,226.00,-35.00
15,Commercial Banks,Prabhu  Bank Limited,207.00,162.60,-44.40
16,Commercial Banks,Prime Commercial Bank Ltd.,265.00,195.00,-70.00
17,Commercial Banks,Sanima Bank Limited,276.00,260.50,-15.50
18,Commercial Banks,Siddhartha Bank Limited,303.00,253.00,-50.00
19,Commercial Banks,Standard Chartered Bank Limited,396.30,530.10,133.80
20,Commercial Banks,Sunrise Bank Limited,207.00,173.10,-33.90
21,Development Banks,Corporate Development Bank Limited,312.00,350.00,38.00
22,Development Banks,Excel Development Bank Ltd.,327.00,325.40,-1.60
23,Development Banks,Garima Bikas Bank Limited,387.00,405.00,18.00
24,Development Banks,Green Development Bank Ltd.,230.00,306.00,76.00
25,Development Banks,Jyoti Bikas Bank Limited,302.20,298.00,-4.20
26,Development Banks,Kamana Sewa Bikas Bank Limited,349.90,327.00,-22.90
27,Development Banks,Karnali Development Bank Limited,232.00,282.00,50.00
28,Development Banks,Lumbini Bikas Bank Ltd.,341.00,413.00,72.00
29,Development Banks,Mahalaxmi Bikas Bank Ltd.,378.00,325.50,-52.50
30,Development Banks,Miteri Development Bank Limited,347.00,404.10,57.10
31,Development Banks,Muktinath Bikas Bank Ltd.,439.90,407.00,-32.90
32,Development Banks,Narayani Development Bank Limited,380.00,414.00,34.00
33,Development Banks,Saptakoshi Development Bank Ltd,237.10,258.00,20.90
34,Development Banks,Shangrila Development Bank Ltd.,290.00,322.00,32.00
35,Development Banks,Shine Resunga Development Bank Ltd.,294.90,384.00,89.10
36,Development Banks,Sindhu Bikash Bank Ltd,268.20,279.00,10.80
37,Finance,Best Finance Company Ltd.,377.50,353.00,-24.50
38,Finance,Capital Merchant Bank & Finance Co. Ltd.,140.00,140.00,0.00
