Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,"Nepal Stock Exchange Limited
Singhadurbar Plaza, Kathmandu, Nepal
Phone: 977-1-4250758, 4250735, Fax: 977-1-4262538
Email: info@nepalstock.com",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Market Capitalization by Sector (2022-7-17 to 2023-7-16) ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
S.N,BUSINESS DATE,COMMERCIAL BANKS,,,MANUFACTURING AND PROCESSING,,,HOTELS AND TOURISM,OTHERS,HYDRO POWER,TRADINGS,NON LIFE INSURANCE,,DEVELOPMENT BANKS,,FINANCE,MICROFINANCE,LIFE INSURANCE,,INVESTMENT,TOTAL
1,2022-07-17,529046.6,,,69740.76,,,16927.43,155502,77516.77,0,,0.0,94014.5,,23056.61,146547.04,0,47757.6,,1160109.31
2,2022-07-18,530303.73,,,70225.16,,,17711.03,158220,78788.78,0,,0.0,94753.21,,23369.95,147303.49,0,48209.04,,1168884.39
3,2022-07-19,533332.89,,,70682.78,,,17828.99,158400,78835.69,0,,0.0,95707.2,,24189.25,149983.31,0,48256.56,,1177216.67
4,2022-07-20,532881.58,,,71290.17,,,17694.17,159840,78858.83,0,,0.0,95801.68,,24819.94,150354.04,0,48589.2,,1180129.61
5,2022-07-21,532709.2,,,71019.51,,,17609.92,161082,78082.86,0,,0.0,94969.49,,24506.35,149481.67,0,47555.9,,1177016.9
6,2022-07-22,527911.54,,,69942.91,,,17432.97,156780,76927.38,0,,0.0,93098.68,,23907.61,148036.36,0,46757.04,,1160794.49
7,2022-07-24,535019.96,,,71547.87,,,17778.43,166500,79460.34,0,,0.0,97474.05,,25544.01,154925.21,0,48871.68,,1197121.55
8,2022-07-25,540248.45,,,73093.28,,,18368.24,167382,81891.91,0,,0.0,102721.95,,27731.87,162128.13,0,50751.36,,1224317.19
9,2022-07-26,531586.16,,,72300.78,,,17862.69,162000,80140.87,0,,0.0,99940.58,,26603.33,157970.54,0,48895.18,,1197300.13
10,2022-07-27,531126.22,,,72528.55,,,17862.69,166860,81687.75,0,,0.0,101124.29,,27865.24,162291.01,0,49576.56,,1210922.31
11,2022-07-28,530952.65,,,72413.33,,,18452.5,168300,82540.33,0,,0.0,102942.64,,28934.58,164682.66,0,49811.52,,1219030.21
12,2022-07-29,533009.01,,,72707.41,,,19497.29,172620,82189.5,0,,0.0,107123.81,,29234.7,164845.6,0,49412.09,,1230639.41
